Name,Description
exper.10y,Loan applicant's experience - less than 10 years
exper.15y,Loan applicant's experience - less than 15 years
exper.25y,Loan applicant's experience - less than 25 years
exper.25p,Loan applicant's experience - more than 25 years
Other,Loan applicant's occupation area
Mining,Loan applicant's occupation area
Processing,Loan applicant's occupation area
Energy,Loan applicant's occupation area
Utilities,Loan applicant's occupation area
Construction,Loan applicant's occupation area
Retail.wholesale,Loan applicant's occupation area
Transport.warehousing,Loan applicant's occupation area
Hospitality.catering,Loan applicant's occupation area
Info.telecom,Loan applicant's occupation area
Finance.insurance,Loan applicant's occupation area
Real.estate,Loan applicant's occupation area
Research,Loan applicant's occupation area
Administrative,Loan applicant's occupation area
Civil.service.military,Loan applicant's occupation area
Education,Loan applicant's occupation area
Healthcare.social.help,Loan applicant's occupation area
Art.entertainment,Loan applicant's occupation area
Agriculture.for.fish,Loan applicant's occupation area
homeless,Loan applicant's home ownership type - homeless
owner,Loan applicant's home ownership type - owner
livingw.parents,Loan applicant's home ownership type - living with parents
tenant.pfp,"Loan applicant's home ownership type - tenant, pre-furnished property"
council.house,Loan applicant's home ownership type - council house
joint.tenant,Loan applicant's home ownership type - tenant
joint.ownership,Loan applicant's home ownership type - joint ownership
mortgage,Loan applicant's home ownership type - mortgage
encumbrance,Loan applicant's home ownership type - owner with encumbrance
inc.princ.empl.no,1 - has income from a principal employer
inc.princ.empl.l,The amount of income from the principla employer [log(x+1)]
inc.pension.no,1 -has income from a pension
inc.pension.l,The amount of income from a pension [log(x+1)]
inc.fam.all.no,1 - has income from family allowances
inc.fam.all.l,The amount of income from family allowances [log(x+1)]
inc.soc.wel.no,1 - has income from social welfare
inc.soc.wel.l,The amount of income from social welfare [log(x+1)]
inc.leave.no,1 - has income from leave
inc.leave.l,The amount of income from leave pay [log(x+1)]
inc.child.no,1 - has income from child support
inc.child.l,The amount of income from child support [log(x+1)]
inc.other.no,1 - has income from other sources
inc.other.l,The amount of income from other sources [log(x+1)]
inc.total,Total income [log(x+1)]
no.liab.00,Loan applicant's number of existing liabilities - 0
no.liab.01,Loan applicant's number of existing liabilities - 1
no.liab.02,Loan applicant's number of existing liabilities - 2
no.liab.03,Loan applicant's number of existing liabilities - 3
no.liab.04,Loan applicant's number of existing liabilities - 4
no.liab.05,Loan applicant's number of existing liabilities - 5
no.liab.10,Loan applicant's number of existing liabilities - up to 10
liab.l,Total amount of existing liabilities [log(x+1)]
no.refin.00,Loan applicant's number of liabilities after refinancing - 0
no.refin.01,Loan applicant's number of liabilities after refinancing - 1
no.refin.02,Loan applicant's number of liabilities after refinancing - 2
no.refin.03,Loan applicant's number of liabilities after refinancing - 3
no.refin.04,Loan applicant's number of liabilities after refinancing - 4
inc.support,Loan applicant's income from alimony payments [log(x+1)]
FreeCash.d,1 - has free cash
FreeCash.l,Total amount of free cash [log(x+1)]
no.previous.loan.00,Loan applicant's number of previous loans - 0
no.previous.loan.01,Loan applicant's number of previous loans - 1
no.previous.loan.02,Loan applicant's number of previous loans - 2
no.previous.loan.03,Loan applicant's number of previous loans - 3
no.previous.loan.04,Loan applicant's number of previous loans - 4
no.previous.loan.05,Loan applicant's number of previous loans - 5
no.previous.loan.06,Loan applicant's number of previous loans - 6
no.previous.loan.07,Loan applicant's number of previous loans - 7
previous.loan.l,Total amount of loan applicant's previous loan amounts [log(x+1)]
no.previous.repay.00,Loan applicant's number of previous early repayments - 0
no.previous.repay.01,Loan applicant's number of previous early repayments - more than 1
previous.repay.l,Total amount of loan applicant's previous loan repayments [log(x+1)]
A,Bondora rating - A
AA,Bondora rating - AA
B,Bondora rating - B
C,Bondora rating - C
